,date,star_group,text,sentiment
32,2025-03-21,1,shocking service could leave star would helen street glasgow via uber eats get notification saying donnamarie delivering apparently delivered really thats news waiting door never showed marked completed hope whoever got paid enjoys tried contact uber eats portal answering phone surprise surprise contacted got usual pa buck anything give driver course going accept responsibility courier premise clearly trusted correct door need take accountability absolute cowboy use uber eats eat review seen say never get delivered,Negative
33,2025-03-21,1,waiting long meal waiting long meal bad wait meal arrive left asked take away chip cold didnat give u milk sugar managed miss parking ticket assistant said restaurant restaurant customer standing waiting hope service get better soon never come,Negative
34,2025-03-20,1,experience theira experience mcdelivery appa absolutely disgusting treatment customer driver around corner minute arriving bag seal broken rejected asked new refund chat telling canat get refund rejected iam gon na accept family could tampered support rude unhelpful driver said wife upset pregnanta sheas upset kept round corner tried deliver car claim youare bike dodgy company respect customer majorly overcharging,Negative
35,2025-03-20,1,bristol road birmingham house racist extremely disappointed service bristol road birmingham uk placed online drive thru pickup car wouldnat start arrived scooter drive thru completely empty yet staff refused give paid simply wasnat car explained emergency employee manager rude dismissive instead helping paying customer seemed interested avoiding work iam also seeing customer mistreated especially scooter asian background kind treatment unacceptable operate iall taking business elsewhere customer deserve better,Negative
36,2025-03-19,1,extremely slow service extremely slow service told,Negative
37,2025-03-19,1,visited bourne lincolnshirea visited bourne lincolnshire philly cheese medium meal touch screen unit fine issue receipt went collect number politely ask receipt upon elderly person behind counter asked cost meal could remember price lady said abusive replied need tone paying customer said care view way way ask manager duly shouted top voice manager manager arrived explained happen agreed work colleague abusive asking receipt ask refund gave left shop working never expereience maybe age thing older worker giving hoot service back,Negative
38,2025-03-15,1,horrible milkshake milkshake came really watery flavour tasted nasty throw get sensation taste bud experience traumatising big milk drinker love milkshake experience ruined week slowly got back drinking milkshake obviously,Negative
39,2025-03-17,1,fro appa fro app worth aps said delivered havenat received anything tried going onto app complain section could complain receipt section let reorder already purchased went google see could find number call called number got told call uber used app called uber say longer taking call go back app app rubbish care take money make difficult sort problem money,Negative
40,2025-03-17,1,hoxton mount ellanda hoxton mount elland road must worst ever every time something missing whether main item burger syrup pancake complete imbecile mean hard check full bag go uber also useless offer refund itas shambolic never,Negative
41,2025-03-17,1,big mac meal whena big mac meal arrived fry drink mean hard put meal bag arrived cold covered grease u donat expected star u expect atleast edible,Negative
42,2025-03-16,1,starta maccies offa starta maccies uber saw mint milkshake menu surprise got minty milkshake colgate sponsored made menu item dentist teeth feel cleaner every sip mc mouthwash ruined night left cry,Negative
43,2025-03-11,1,sorry say last week aa sorry say last week fish fillet nugget rubbish son vomited,Negative
44,2025-03-16,1,chorley bothera chorley bother sullen miserable staff waited hour tge drive waiting car park drive empty attempt serve customer eat get red carpet,Negative
45,2025-03-16,1,dewsbury road wakefield dewsbury road wakefield joe birt review yesterday missing item phoned branch mentioned nothing done unless go app gave took money always problem dewsbury rd staff want double check,Negative
46,2025-03-16,1,lazy honestly beginning think worker read worker becoming extremely lazy mess nearly every getting completely wrong youare also waiting age best world better,Negative
47,2025-03-02,1,bad missing donat know get time aai,Negative
48,2025-03-15,1,deeply disappointed thea deeply disappointed service received livingston branch march th around pm long journey child six meal paid full told wait time would minute raised concern staff manager assured would longer five minute wait continued beyond collected incompleteamissing burger fry drink called store told would receive refund area apology offered drink also flat unpalatable called supervisor dismissive refused give name take responsibility request full refund promised without requiring come store formal apology manager rude unprofessional behavior issue resolved return leave review itas disheartening global brand could fail provide basic customer service especially country hope matter addressed promptly,Negative
49,2025-03-15,1,via app via app delivery uber one item missing refused refund uber thoroughly reviewed detail surrounding delivery unable process refund change decision regarding refund assist concern question may paid service failed provide,Negative
50,2025-03-14,1,let ban globally first foremost want sincerely apologise reading apologize ban global hate since ninety changed lot full chavez horrible people smell awful crap better eating cardboard eat macdonalds within five minute hungry pointless waste money care people think review eaten past twenty year recently something thought give retry say disgusted disgusting get mixed waiting time ridiculous cold horrible,Negative
51,2025-03-14,1,uber eats joke delivery high street exeter friday morning payment complete app said uber delivering gave link track initially said delivered latest changed delivered latest would late payment taken card already called store several time answer clicked chat link uber even joke uber advisor said call store said store store yet charged amount card uber liar store bother deliver say anything save back payment already taken miraculously disappeared deliver service promise bother taking payment first place uber simply cancelled ended chat absolute disgrace service,Negative
52,2025-03-13,1,sorry understand doth butter parsnip accumulated point free burger many month via app time tried use made three trip one restaurant app crash nd evening walked back home managed difficultly reset app walked back restaurant thing happen ended whole evenig wasted along three day email back forth six different customer service representative finally told understand frustration sorry voucher gesture show really understand frustration would helped burger king come,Negative
53,2025-01-31,1,extremely unhealthy took long come,Negative
54,2025-03-13,1,took long come iam missing nugget either canat count fatty uber driver stole one happy nugget instead owe nugget,Negative
55,2025-03-12,1,starting used mcdelivery absolutely useless told selected fforestfach coming penllergaer away arrived stone cold state receipt bag sealed took almost minute get soggy cold cold big mac cold hot apple pie way type insulated bag threw bin drove burger king basically estate placed insulated bag drove home minute piping hot,Negative
56,2025-03-12,1,stone cold disgusting donat think good go priest eating big mac italy donat like italian guy,Negative
57,2024-11-15,1,hire anyone management swindon newton abbot shockingly slow service rd time month write preparing one called last minute appears person working till also carrying tray table everybody else look drive huge group people waiting visibly fed useless travel different branch future,Negative
58,2025-03-10,1,newton abbot ridiculously slow tried use app delivery waste time every time tried enter address app changed something totally different cancelled,Negative
59,2025-03-09,1,app crap trash took minute move card,Negative
60,2025-03-08,1,went drive mcdonaldasa went buy vegetable deluxe meal deal burger child size patty inside like tiny sausage shape potato pea round shape like burger horrible lettuce leaf tiny stand one worse burger life eat,Negative
61,2025-03-08,1,went buy vegetable deluxe meala absolute rubbish small large fry received drink never received sauce included although asked also drink completely leaked paper bag floor isnat first time delivery gone wrong hard,Negative
62,2025-03-07,1,absolute rubbish newmarket rd cambridge trying delivery weve done absolutely rubbish app tried best use stupid app burger fry delivered eat stupid app functioning kept wanting deliver wrong address would allow u free eat stupid absurd app never lost customer phoneing idea app would deliver via eat tried several time stupid app kept saying wont deliver cambridge always worth hasstle trying,Negative
63,2025-03-07,1,newmrkt rd cambridge app issue office uber eat drive forgot one item response received come fetch send voucher appalling people delivery reason point pay delivery make mistake u customer correct mistake customer service clearly exist within branch need sort,Negative
64,2025-03-07,1,office crap service round sick tired getting cold item missing seems every single time issue,Negative
65,2025-03-06,1,cold missing item dont know still eats look taste artificial like old doesnt look fresh hard explain doesnt feel like real fresh disgusting,Negative
66,2025-03-05,1,dont know still eats waiting day refund still sign cancel nearly hour wait find delivery driver contact mc donald via app removed history chase disgusting service update day refund issued still refund absolute rip bordering fraudulent app deleted never use,Negative
67,2025-02-20,1,waiting day refunda driver picked failed deliver company refusing refund cost,Negative
68,2025-03-04,1,freezing cold yuk great yarmouth fry big mac burger plus wrap purchased bloody cold even though place one waiting,Negative
69,2025-02-28,1,spilled could rate star would terrible service pay aps cancellation fee aps disgusting demanded full refund bad customer service eg talking ai bot progress wouldnat recomend anybody ever bad place avoid avoid avoid,Negative
70,2025-03-03,1,could rate star would big fan used app first time today romford brewery branch got charged aps never went still got charged,Negative
71,2025-03-03,1,beware using app group rabid chimpanzee would provide better service employee branch level incompetence staggering seem unable get simplest correct quality terrible,Negative
72,2025-03-03,1,group rabid chimpanzee woulda went camden high street collect today need check correct taking away gave correct item check left happen last time went got home theer wad still wrong item big mac rather quarter pounder cheese,Negative
73,2025-03-03,1,incorrect given never recieved complaint offered full refund aps till date received refund scammer macdonslds appointment proper scammer almost month disgusting please deliver plus let use reward mac app,Negative
74,2025-02-08,1,never recieved whena every nd time f ur one way another always something missing stone cold taste like last time waste momey honestly never getting another penny,Negative
75,2025-03-03,1,every nd time f ur good used think delivery service compromised quality go drive itas luke warm get,Negative
76,2025-03-02,1,horrendous experience first time ever delivered given completely wrong meal paid aps kid meal honestly canat get help eats anyone advise please,Negative
77,2025-03-02,1,good went plain mccrispy pay received opened box burger find get burger wanted instead got mccrispy extra mayo extra lettuce large slice cheese advice give customer check right,Negative
78,2025-03-02,1,uber eats restaurant customer ignored preference drive thru take away courier restaurant customer bottom priority consider closing restaurant side business patron treated,Negative
79,2025-03-02,1,fosse park slow service despite front number disappeared screen went counter min later woman paid attention remark excuse luke warm coffee found side put front woman returned sugar anything else get aps get pay coffee disgusting threw drain,Negative
80,2025-03-02,1,restaurant customer ignored ina newton aycliffe lunchtime couldnat find salt sachet asked said run hadnat got canat believe restaurant provide salt meal brand going pan,Negative
81,2025-03-02,1,gave poisoninga went drive southend made people service quick job done got back sorted everyoneas asked two cheeseburger pickle opened one literally cheese burger beef patty laughed opened thing slice bloody cheese,Negative
82,2025-03-02,1,slow service despite ordersa beware app hacked money stolen credit card response disgusting dismissive wonat back,Negative
83,2025-03-01,1,salt building cheeseburger ridiculous aps via app uber failed deliver charged immediately uber told contact told contact uber back forth whole week success essentially stolen money made impossible anything,Negative
84,2025-02-28,1,port talbot south wale poor quality last time purchased cheeseburger port talbot hardly onion pickle ketchup mustard tonight double cheeseburger extra ketchup mustard onion tiny square onion mustard barely ketchup never go never ready manage get always wrong,Negative
85,2025-02-28,1,missing missing orderi contact mc donalds,Negative
86,2025-02-28,1,come cold horrible customer service awful stormzy meal son cough worker eating burger fry back soon got cold son starving thanks lot,Negative
87,2025-02-28,1,via app via app delivery fromthe southall branch delivered via uber missing item complained via online told giving refund policy use app online customer support useless took money,Negative
88,2025-02-28,1,shabby customer service went pompey portsmouth pancake muffin breakfast attendant omitted syrup go package halfway discovered went ask syrup began minute interrogation session providing evidence purchase halfway meal attendant rude militant spent aps meal queried syrup request cost p complained way treated response make sure go fraudulently obtain p syrup instead apologizing mistake got lecture abandoned meal disgust attendant promptly threaded bin perhaps place decency pitiful quality staffing pompey centre eventually settle good old english breakfast appalled level savagery,Negative
89,2025-02-27,1,online delivery son meala online delivery son meal nugget large chip turned stone cold small chip two fish fillet actual chicken nugget box tried calling answer uber support useless canat get hold one never,Negative
90,2025-02-27,1,really wish could give star really wish could give star recently including large mcspicy meal cost aps burger aps yet arrives say doesnat arrive burger receive rest meal fry drink price missing item returned short answer receive fraction price wanted buy burger receive one first place would cost grand sum aps obtain burger surely please somebody common sense make right missing burger meal cost aps replace thatas receive back replace burger itas self free paid aps meal incomplete received aps back complaining went replace burger missing meal would cost aps without cost delivery already paid first time round would extra cost either via delivery system fuel car seems like crafty way getting extra money customer oh trusting week later virtually yes meal received burger either somebody particular branch like mcspicy burger chooses retain self incredibly stupid really donat want believe well known company think right desperate extra apss,Negative
91,2025-02-27,1,wrong first timea wrong first time sloppy service,Negative
92,2025-02-16,1,big mac hood gone wrong recently big mac anticipation making review eat instead gave mccock instead superduperdy peeved tbh pmo wanted travis scott meal also give instead ate takis instead intense even gaming like ninja low taper fade character,Negative
93,2025-02-26,1,missing item stone cold fooda iave unwell day place via app delivery live mile store yet stone cold total wrong item missing iad paid drink went bin difficult contact donat missing button app like uber beyond aps done drain never use,Negative
94,2025-02-26,1,rubbish service admiral eastbourne delivery admiral park eastbourne branch opened bag delivery missing breakfast meal put bag hash brown mcmuffin drink mcmuffin missing incompetent whoever packed bag read simple say full meal instead threw bag hash brown mcmuffin called branch spoke megan manager huffed puffed phone said driver fault apparently itas job check every single bag delivers make sure match whatas bag stupid employee packed bag make sure read pack paid megan told u drive ti ncdonalds branch canat refund u give u drive didnat see megan manager even though said happened one employee gave u cold looking sausage egg mcmuffin drink missing originally sense would think delivery eat breakfast meal half missing say phone canat refund drive sort given missing item partner ended eating half home half rubbish customer service big multi national company next time going good old british cafe breakfast plus megan manager say itas driver job stand check whatas bag every driving total rubbish admitted staff fault whoever packed bag iam sorry canat get right recruit staff simple task like also recruit manager accept responsibility need look employing,Negative
95,2025-02-26,1,slow served people beforea slow served people u first,Negative
96,2025-02-25,1,stormzy aka mcracist absolute pit matter branch go count people deliver lowest standard service possible doesnat end store online youare likely equally bad experience regular latte youall receive half cup large youall end regular size cup described hot milk compensate extra milk coffee guess canat extra shot online either iam really glad stormzy collaborated mcdonaldsa vile creature come uk worst come uk working togethera great dd,Negative
97,2025-02-25,1,winsford horrible experience two breakfast muffin meal thrown bag cold wrapped absolutely appalling,Negative
98,2025-02-24,1,mc donalds drive thru norwich roada mc donalds drive thru norwich road hethersett drive double cheese burger shld extra onion large fry actually got onion burger small fry went back round drive thru told staff mistake told wanted got little piece onion extra mustard instead yuk used drive thru short time obvs time go round twice time go say messed rd time threw away appalling service mc donald staff apology,Negative
99,2025-02-21,1,online readya online ready got branch waited min breakfast yet change time burnt first asked change got wrong one,Negative
100,2025-02-22,1,horrendous experience burntisland branch went family high expectation however one employee named greig decided rugby tackle great grandmother complained table unclean quite frankly endangerment health could seriously injured know petrified leaving house encase greig strike,Negative
101,2025-02-21,1,okay service terrible delivery late missing bad service walsall rushall shelfield refunding item asked delivery fee said note feedback bad upset kid,Negative
102,2025-02-22,1,scandal satisfied state found sweet chilli wrap meal mayonnaise looking forward would first meal day regret inform wrap certainly came mayonnaise deathly allergic mayonnaise may able understand distraught decided call see would possibly able new one paid aps whole surprise woman side phone seemed uninterested quite frankly bored ended phone call wrap full mayonnaise sight getting new one severely upset experience quite frankly pissed,Negative
103,2025-02-22,1,beyond unacceptable app uber man take picture black screen claim delivered experienced ripley derbyshire,Negative
104,2025-02-20,1,missing number ofa missing number occasion almond road leicester bag sealed shown bought missing tried call usual answer havenat response emailing either terrible service wonat use treat youngest due incompetency staff son left without happy awful service keep happening could give zero star would,Negative
105,2025-02-22,1,awful st austell disappointed could would give star went breakfast drive girl drive awful like didnat wan na also clue going told go bay took age came drink wrong three thing wrong squashed bag short one thing greasy bag hash brown bottom completely squashed person brought meal u clue bacon mcmuffins got sausage one cheesy flat bread missed latte sure would like feedback complaint,Negative
106,2025-02-21,1,went last night mya went last night girl gave chuck bag across counter customer service,Negative
107,2025-02-21,1,brought dou doublea brought dou double cheeseburger mac chicken sandwich medium fry merry hill delivered uber eats live road took short time comewell freezing cold looked like somebody sat double cheeseburger chicken burger looked like thrown bap cheese melted paper burger box fry half emptywhen called said call uber said standard fault want know never go wanted upload picture could see bad actually way could shame big company make much money absolutely disgraceful,Negative
108,2025-02-21,1,presentation thought iad try low road leeds long time reminded canat even say quickly reminded meal took nearly minute come absolutely care taken preparation burger looked like stood picture taken really dinat capture bad bread bun badly burnt well thought would able add pic canat see add iam sure thereas many people relate review seemingly thousand extremely bad review still going till loss customer effect profit wonat rush improve thing,Negative
109,2025-02-10,1,avoid brent cross consistently missing item poor service strongly recommend ordering brent cross branch multiple occasion iave item missing even though bag arrived asealed suggests either incompetence worse intentional theft eat raising issue met resolution follow one mistake part troubling pattern missed item lack accountability care getting paid expect reliable service would suggest avoiding branch altogether,Negative
110,2025-02-20,1,please buy macdonald area please buy macdonald american need respect people hurt financially love trump elon,Negative
111,2025-02-20,1,went longford earlya went longford early today breakfast bought plan cheese burger fry etc regular capancho big mistake like eating cat left previous night burger flat pancake probably run way tell truth told medium burger server said small plan expressing tuff half capancho cup warm taking leak toilet chip small serving even though paid upgrade mentioned girl grudlerly changed extra e tomato ketchup paper towel top suffer recycle lid soak coffee like baby nappy two mouth full greggs see tomm sausage roll decent capancho,Negative
112,2025-02-20,1,macdonaldas monk cross travel yorkshire regularly use restaurant restaurant monk cross york worse restaurant whole county shocking customer service,Negative
113,2025-02-19,1,rubbish slow slow park get rip come cold fast like slow,Negative
114,2025-02-19,1,pit pit extremely poor quality always served cold looking like put mangler,Negative
115,2025-02-19,1,poor service yet many car car park long queueing line excellent bit wait spoken car front finished taken pounder meal med white tea please x plain hamburger end long wait pay next window tea handed distracted person saying something hear understand repeated queue car park please idea q car hardly car park acquire space immediately wait age meal handed miserable woman smile drive arrive home less minute burger chip cold open tea coffee th time received coffee instead tea asked white tea time time going complain macdonalds although much often every single time cold coffee normally frustrated waiting simple totally forget check driving said given paid hot meal correct hot drink yes coffee cold coffee warm going,Negative
116,2025-02-09,1,extremely disappointed witha extremely disappointed mcdonaldsuk customer service placed twickenham hanworth people fry missing forcing return store got home entire meal cold ruined reached customer service fair resolution refused provide full compensation ignored concern poor service accuracy issue store instead taking responsibility offered meal voucher even covering affected people refused outline action taken prevent happening treat customer make mistake better mcdonaldsuk mcdonaldscomplaint poorcustomerservice,Negative
117,2025-02-18,1,app app couple item missing app sort waste time ringing store help either money,Negative
118,2025-02-18,1,fast poor service uber app received find missing chip one chip even happy meal kid called spoke chloe chichester store portfield way laughed u continued provide poor service stating ajust get refund ubera yeah maybe guy store made huge mistake kid donat chip issue end ubers hugely concerning customer service girl,Negative
119,2025-02-18,1,clapham common branch went clapham common branch okay take away service diabolical much write except cashier ok without smile face basically would get two star rest would get star worth another visit clapham common many outlet one choose,Negative
120,2025-02-17,1,get home delivery whatever get home delivery last week never received apple pie paid cheese mcplant burger fried even warm week never received pineapple stick bbq sauce never awful service,Negative
121,2025-02-14,1,big mac medium meal fri big mac medium meal fri feb straiton arrived time big mac burger lukewarm fry cold ended upset stomach eat even offered refund despite contacting disappointing cost aps disgusting way treat customer think serve like properly heated also endangered health shocking never buy,Negative
122,2025-02-17,1,disappointing green lane nz bacon egg muffin seldom go time exception expensive tasty small disappointing,Negative
123,2025-02-16,1,service really bad service really bad,Negative
124,2025-02-16,1,eindhoven noord brabantlaan eindhoven noord brabantlaan went today fly salad handed back back think manager saying want fruit fly salad reaction service expected longer cheap meal,Negative
125,2025-02-14,1,wolverton drive thru specifically wolverton drive thru specifically branch multiple time today reached end teather giving chance chance improve went drive thru placed waited minute rhe pay window one go pick window told got go way back round pay st window huge que car waiting another minute absolute shamble branch week later used uber eats delivery completely missed happy meal sent drink sick specific branch get issue mk drive thru even stadium branch,Negative
126,2025-02-07,1,app app know thrn passed uber eats delivery time pushed back eventually arrived hour half late stone cold uber eats said contact mcdonakds say contact uber eats nobody take responsibility far concerned used app sort eventually offered voucher turn used restaurant delivery house bound disabled person useless feel totally let hungry,Negative
127,2025-02-14,1,orderd macflury strawberrya orderd macflury strawberry milkshake eats placed past say expected qauter past eleven expected p take donat even deserve star,Negative
128,2025-02-14,1,cold cold missing long wait get elsewhere,Negative
129,2025-02-14,1,sure happened toa sure happened stratford road shirley seems staff dont care look like social gathering burger fry stacked high waiting packed going stone cold last time ive ive wait even slightly warm,Negative
130,2025-02-14,1,didnat give cheeseburger cold chip disgusting didnat give cheeseburger,Negative
131,2025-02-14,1,ollerton new restaurant rubbish service turned served others served minute one gentleman minute longer yet car gone got ignored apologise absolutely terrible service stayed closed hot drink milkshake really opened staffed,Negative
132,2025-02-13,1,cold cold two hour deliver need sort,Negative
133,2025-02-13,1,oldbury staff keep ona oldbury staff keep getting wrong evening put extra fry bag also sauce chicken nugget aps donat expect two mistake one itas staff listening properly english perfect sure said ask iam disappointed meal better lost customer,Negative
134,2025-02-02,1,iave given star even star isa iave given star even star much breakfast via app meant delivered uber eats driver never received cost u aps familyas breakfast uber eats blaming arenat offering money back disappointed wonat using either service,Negative
135,2025-02-12,1,happy experience worst didnat ice cream,Negative
136,2025-02-12,1,constantly cold store delivery honestly disappointed new returned brentwood high street year store visit delivery cold trying,Negative
137,2025-02-08,1,meal sa meal app paid card informed hour later delivery min away min later text message uber stating sorry could completed please contact refund contacted taken payment tell uber fefund uber tell responsibility crazy wanted meal hard shift ward fight refund company take responsibility others failure beware using app guaranteed meal alot time trying get refund ordering using,Negative
138,2025-02-09,1,tried place last night tried place last night app asks payment method freeze last night got soaked drive thru open window make payment app process point app become useless trying today still problem,Negative
139,2025-02-10,1,botley mc donaldasa botley mc donaldas today service crap gave someone else wait half hour rubbish seem bother app working whole service shamble communication definitely coming back,Negative
140,2025-02-10,1,shocked disgusted bad thea shocked disgusted bad boucher road belfast complete waste money fry freezing cold burger nothing short disgrace attitude manager would even call sackable never back near want overpriced extremely bad go good year ago worse dog,Negative
141,2025-02-08,1,received totallya received totally rock hard stone cold saturday night gave meat pet swallow nice thing drink never cold restaurant entire life next day woke feeling sick tummyache ever since,Negative
142,2025-02-10,1,rd time week vana rd time week van covered coffee cheap lid using youave lost custom weekly apsa costa kfca,Negative
143,2025-02-10,1,really terrible havea really terrible become large big mac meal got small one mentioned girl told tuff luck walked think ever,Negative
144,2025-02-09,1,son work eat collectsa son work eat collect delivery done many year afternoon waiting collect delivery punched face several time delivery driver uber eats also dragged floor trying defend self female manager looking ccg told son leave restaurant unable drive wounded mouth bleeding rang severe pain shoulder clearly dislocated drive hospital advised ring manager explain showed zero compassion admitted lunch break disturbed son attacked told son banned son tried explain physically assaulted reason totally dismissed saying female deal fighting kid cry done call police son could speak show duty care young delivery driver son hospital even ask repeated banned son never fight life never trouble earnings attitude every thing wrong society shame concerned lunch break welfare son physically attacked injured,Negative
145,2025-02-09,1,north finchley restaurant today north finchley restaurant today cold fry lukewarm burger restaurant going downhill improved month ago since slumped back purchased macdonalds app asks rate app app asking rating wasting money anymore,Negative
146,2025-02-09,1,terrible terrible argo take used fast wait wait lucky eat min also crap overpriced must say want great burger reasonable price wendy beaten,Negative
147,2025-02-08,1,downhill since started deliverya downhill since started delivery service almost every single visit joke pile delivery bag filled huge section delivery driver sitting waiting whilst normal customer left waiting forever finally got served wrong,Negative
148,2025-02-09,1,binley master missing item yet another missing item today drinksalast time burger itas almost impressive consistently fail get right one missing item record breaking three binley continues disappoint award incomplete theyad win every time,Negative
149,2025-02-09,1,six hour shift boyfriend wasa six hour shift boyfriend hungry went get one thing forgot fuming raging tampin,Negative
150,2025-02-08,1,one thing hate abouta one thing hate pay sauce never receive delivery,Negative
151,2025-02-08,1,brentwood colda brentwood cold took hour minute come got wrong,Negative
152,2025-02-08,1,cold extremely slow service went camden high street nw today pm took minute get full rest cold tasted disgusting,Negative
153,2025-02-07,1,disgraceful customer service last mcdeliveries sent wrong missing complained offered nothing blamed uber eats opinion company disgraceful absolutely respect customer know people still keep buying product lazy want quick easy fix hunger one never buy family,Negative
154,2025-02-08,1,terrible new store brentwood essex waited minute wasnat even warm many people complaining wait wasnat even busy lot people also taking back cold,Negative
155,2025-02-07,1,dreadful service luke warm foid terrible service cribbs causeway branch makro placed addition etc busy number came immediately collect could see ready packing heat lamp two manager shift packing man looking drive thru woman customer restaurant busy talking another member staff well actually gossiping showing phone went minute whilst sat getting cold asked worker packed pointed female manager eventually stopped talking got back packed gave somebody else give concern customer social interaction good look company yes luke warm disappointed,Negative
156,2025-02-08,1,coffee cup earth thinking changing lid coffee cup taste cardboard coffee yes get cutting plastic come canat sacrifice product sake trying please green brigade future iall paying extra purchasing costa,Negative
157,2025-02-07,1,absolutely disgusting cut long story short double cheese burger drove home opened find worst looking burger ever seen honest looked though day meat mm thick cold hard cheese bun much better honest opinion gone severely hill terrible customer service bad manager usually hiding back kitchen nobody answering phone sick paying good hard earned money ney crap absolutely disgusting,Negative
158,2025-02-07,1,mcds uber match made hell via app second time delivery took nearly hour stone cold time uber want help delivered reasonable time apparently care way complain escalate issue leaving bad review good erith particularly badthe drink machine perpetually broken emailed mcdoalds support couple year ago want help machine still fixed sad get good amazing nowadays grown big time half empty cold tasteless niether uber seem care,Negative
159,2025-02-07,1,paid item received spent aps happy meal adult meal received happy meal purchased drive thru course know unable go back tell drove iave got three drink meal second time itas happened scam right front face,Negative
160,2025-02-07,1,rude staff rude staff left waiting way long asked missed number lady came kitchen area spoke abruptly saying well shouted shouted number literally sat closest table counter could shouted number clearly enough fine reason lady rude,Negative
161,2025-01-14,1,absolutely awful experience ata absolutely awful experience manchester city centre waited minute meal apology offered terrible,Negative
162,2025-02-06,1,ripped stolen delivery stanley road bootle merseyside always substandard always arrives cold thrown together care taken tonight stolen said delivered care customer eat care even less ripoff company eat even know real delivery people need looked relevant legal body absolute disgrace eat working time paying customer stolen shame eat maybe spent less advertising vetting delivery driver would get better review utter disgrace,Negative
